Year,Number of Mobile Subscribers,Number of People having a National Identity Card,Number of Internet Users,Number of ATMs,Number of PoS Terminals,No. of Banks live on UPI,Number of Debit Cards,Number of Credit Cards,Number of PPIs,Total Digital Payments Volume (lakhs),PPI Volume (lakhs),RTGS Volume (lakhs),IMPS Volume (lakhs),NACH Volume (lakhs),NEFT Volume (lakhs),UPI Volume (lakhs),Credit Card Volume (lakhs),Debit Card Volume (lakhs),Mobile Payments Volume (lakhs)
Jan-2020,1156440000.00,1253000000.00,673390000.00,210263.00,4291612.00,144.00,805324206.00,56120245.00,1757474090.00,33631.79,5237.05,137.29,2595.26,1407.61,2605.60,13050.19,2017.27,4500.85,14402.70
Dec-2019,1151440000.00,1250600000.00,661940000.00,209639.00,4248777.00,143.00,830758590.00,55332847.00,1762543050.00,32256.54,5069.51,136.02,2564.67,659.48,2336.90,13084.02,2036.64,4448.75,14322.15
Nov-2019,1154590000.00,1248400000.00,661270000.00,209605.00,4128351.00,143.00,,54410765.00,1726320170.00,29978.63,4640.07,133.87,2280.75,706.05,2194.60,12187.71,1762.12,4180.84,13534.23
Oct-2019,1183400000.00,1246300000.00,644080000.00,207743.00,4825074.00,141.00,,,,,4848.26,128.92,2369.30,3606.27,2424.00,11483.60,2036.00,1314.04,12418.01
Sep-2019,1173750000.00,1244700000.00,625420000.00,206589.00,4589727.00,141.00,,,,,4033.61,114.42,2041.60,2883.25,2167.00,9550.20,1802.88,1208.96,10980.26
Aug-2019,1171000000.00,1243000000.00,615430000.00,207144.00,4409250.00,141.00,,,,,4070.66,118.79,2003.10,3080.12,2212.60,9183.50,1804.31,1243.63,10072.43
Jul-2019,1168310000.00,1241600000.00,604120000.00,206780.00,4252850.00,143.00,,,,,4075.89,127.45,1892.76,2797.21,2194.20,8222.90,1792.82,1241.66,9175.84
Jun-2019,1165460000.00,1239500000.00,594590000.00,207144.00,4409250.00,142.00,,,,,3898.19,118.26,1713.25,2728.27,1991.40,7545.40,1640.46,1212.62,8486.06
May-2019,1161860000.00,1238100000.00,581510000.00,206819.00,3845111.00,143.00,,,,,4189.98,124.91,1833.25,2824.82,2176.80,7335.40,1740.43,1228.24,8417.38
Apr-2019,1162300000.00,1237000000.00,571950000.00,207131.00,3757621.00,144.00,,,,,4209.74,114.75,1850.44,3428.23,2034.40,7817.90,1677.85,1221.99,8812.35
Mar-2019,1161810000.00,1235800000.00,563310000.00,202196.00,3722229.00,142.00,,,,,4272.40,136.43,1901.80,2944.74,2423.90,7995.40,1632.74,1298.99,8729.27
Feb-2019,1183680000.00,1234600000.00,550240000.00,202842.00,3636851.00,139.00,,,,,3848.51,110.88,1663.73,2657.31,2011.00,6741.90,1421.29,1164.40,7394.06
Jan-2019,1181970000.00,1232800000.00,540040000.00,203458.00,3657596.00,134.00,,,,,4464.71,117.80,1715.08,2448.88,2051.30,6727.50,1604.29,1254.01,7108.98
Dec-2018,1176000000.00,1231000000.00,518550000.00,203266.00,3595912.00,129.00,,,,,4417.66,113.20,1769.32,2478.62,1947.80,6201.70,1592.17,1301.00,6614.28
Nov-2018,1171760000.00,1229300000.00,511900000.00,203918.00,3510859.00,128.00,,,,,3941.65,109.65,1499.40,2469.88,1942.10,5249.40,1466.46,1215.96,5759.91
Oct-2018,1170020000.00,1228400000.00,496120000.00,204179.00,3450355.00,128.00,,,,,4202.02,118.64,1546.23,2477.60,2090.40,4823.60,1619.73,1262.24,5596.22
Sep-2018,1169290000.00,1226100000.00,481700000.00,205866.00,3393396.00,122.00,,,,,3578.56,104.00,1357.35,2351.49,1810.10,4058.70,1390.31,1161.09,4896.65
Aug-2018,1166900000.00,1223600000.00,463660000.00,205665.00,3332484.00,114.00,,,,,3733.90,110.12,1335.78,2599.59,1932.00,3120.20,1450.41,1162.69,3927.94
Jul-2018,1157040000.00,1220700000.00,460240000.00,206254.00,3268817.00,114.00,,,,,3518.00,109.70,1273.77,2563.51,1806.00,2737.50,1458.10,1149.11,3560.83
Jun-2018,1146490000.00,1216800000.00,447120000.00,206409.00,3311184.00,110.00,,,,,3329.52,114.33,1204.91,2354.15,1771.50,2463.70,1367.25,1111.53,3229.74
May-2018,1131010000.00,1213100000.00,432000000.00,206989.00,3247096.00,101.00,,,,,3503.61,114.94,1166.21,2370.86,1729.10,1894.80,1390.39,1100.17,2679.13
Apr-2018,1125070000.00,1209800000.00,419790000.00,205184.00,3193356.00,97.00,,,,,3261.75,106.60,1095.51,2635.22,1673.50,1900.80,1330.46,1092.71,2506.19
Mar-2018,1183410000.00,1207200000.00,412600000.00,207052.00,3083067.00,91.00,,,,,2936.56,126.85,1101.54,2173.12,2120.10,1780.50,1280.78,1093.84,2399.02
Feb-2018,1156870000.00,1203400000.00,392060000.00,206659.00,3079487.00,86.00,,,,,3453.66,106.29,992.45,2101.00,1655.90,1714.00,1154.43,1000.28,2232.49
Jan-2018,1151940000.00,1199700000.00,378100000.00,206739.00,3061817.00,71.00,,,,,3612.01,111.61,995.58,2189.60,1702.10,1518.30,1307.25,1042.94,2150.09
